SEGGER J-Link V6.42b Log File
DLL Compiled: Feb  5 2019 17:31:40
Logging started @ 2019-05-28 20:46

T3ED8 008:929 JLINK_DEVICE_GetInfo(DeviceIndex = 104)  returns 0 (0000ms, 0155ms total)
T3ED8 008:929 JLINK_DEVICE_GetInfo(DeviceIndex = 105)  returns 0 (0000ms, 0155ms total)
T3ED8 008:929 JLINK_DEVICE_GetInfo(DeviceIndex = 106)  returns 0 (0000ms, 0155ms total)
T3ED8 008:929 JLINK_DEVICE_GetInfo(DeviceIndex = 107)  returns 0 (0000ms, 0155ms total)
T3ED8 008:929 JLINK_DEVICE_GetInfo(DeviceIndex = 108)  returns 0 (0000ms, 0155ms total)
T3ED8 008:929 JLINK_DEVICE_GetInfo(DeviceIndex = 109)  returns 0 (0000ms, 0155ms total)
T3ED8 008:929 JLINK_DEVICE_GetInfo(DeviceIndex = 110)  returns 0 (0000ms, 0155ms total)
T3ED8 008:929 JLINK_DEVICE_GetInfo(DeviceIndex = 111)  returns 0 (0000ms, 0155ms total)
T3ED8 008:929 JLINK_DEVICE_GetInfo(DeviceIndex = 112)  returns 0 (0000ms, 0155ms total)
T3ED8 008:929 JLINK_DEVICE_GetInfo(DeviceIndex = 113)  returns 0 (0000ms, 0155ms total)
T3ED8 008:929 JLINK_DEVICE_GetInfo(DeviceIndex = 114)  returns 0 (0000ms, 0155ms total)
T3ED8 008:929 JLINK_DEVICE_GetInfo(DeviceIndex = 115)  returns 0 (0000ms, 0155ms total)
T3ED8 008:929 JLINK_DEVICE_GetInfo(DeviceIndex = 116)  returns 0 (0000ms, 0155ms total)
T3ED8 008:929 JLINK_DEVICE_GetInfo(DeviceIndex = 117)  returns 0 (0000ms, 0155ms total)
T3ED8 008:929 JLINK_DEVICE_GetInfo(DeviceIndex = 118)  returns 0 (0000ms, 0155ms total)
T3ED8 008:929 JLINK_DEVICE_GetInfo(DeviceIndex = 119)  returns 0 (0000ms, 0155ms total)
T3ED8 008:929 JLINK_DEVICE_GetInfo(DeviceIndex = 120)  returns 0 (0000ms, 0155ms total)
T3ED8 008:929 JLINK_DEVICE_GetInfo(DeviceIndex = 121)  returns 0 (0000ms, 0155ms total)
T3ED8 008:929 JLINK_DEVICE_GetInfo(DeviceIndex = 122)  returns 0 (0000ms, 0155ms total)
T3ED8 008:930 JLINK_DEVICE_GetInfo(DeviceIndex = 123)  returns 0 (0000ms, 0156ms total)
T3ED8 008:930 JLINK_DEVICE_GetInfo(DeviceIndex = 124)  returns 0 (0000ms, 0156ms total)
T3ED8 008:930 JLINK_DEVICE_GetInfo(DeviceIndex = 125)  returns 0 (0000ms, 0156ms total)
T3ED8 008:930 JLINK_DEVICE_GetInfo(DeviceIndex = 126)  returns 0 (0000ms, 0156ms total)
T3ED8 008:930 JLINK_DEVICE_GetInfo(DeviceIndex = 127)  returns 0 (0000ms, 0156ms total)
T3ED8 008:930 JLINK_DEVICE_GetInfo(DeviceIndex = 128)  returns 0 (0000ms, 0156ms total)
T3ED8 008:930 JLINK_DEVICE_GetInfo(DeviceIndex = 129)  returns 0 (0000ms, 0156ms total)
T3ED8 008:930 JLINK_DEVICE_GetInfo(DeviceIndex = 130)  returns 0 (0000ms, 0156ms total)
T3ED8 008:930 JLINK_DEVICE_GetInfo(DeviceIndex = 131)  returns 0 (0000ms, 0156ms total)
T3ED8 008:930 JLINK_DEVICE_GetInfo(DeviceIndex = 132)  returns 0 (0000ms, 0156ms total)
T3ED8 008:930 JLINK_DEVICE_GetInfo(DeviceIndex = 133)  returns 0 (0000ms, 0156ms total)
T3ED8 008:930 JLINK_DEVICE_GetInfo(DeviceIndex = 134)  returns 0 (0000ms, 0156ms total)
T3ED8 008:930 JLINK_DEVICE_GetInfo(DeviceIndex = 135)  returns 0 (0000ms, 0156ms total)
T3ED8 008:930 JLINK_DEVICE_GetInfo(DeviceIndex = 136)  returns 0 (0000ms, 0156ms total)
T3ED8 008:930 JLINK_DEVICE_GetInfo(DeviceIndex = 137)  returns 0 (0000ms, 0156ms total)
T3ED8 008:930 JLINK_DEVICE_GetInfo(DeviceIndex = 138)  returns 0 (0000ms, 0156ms total)
T3ED8 008:930 JLINK_DEVICE_GetInfo(DeviceIndex = 139)  returns 0 (0000ms, 0156ms total)
T3ED8 008:930 JLINK_DEVICE_GetInfo(DeviceIndex = 140)  returns 0 (0000ms, 0156ms total)
T3ED8 008:930 JLINK_DEVICE_GetInfo(DeviceIndex = 141)  returns 0 (0000ms, 0156ms total)
T3ED8 008:930 JLINK_DEVICE_GetInfo(DeviceIndex = 142)  returns 0 (0000ms, 0156ms total)
T3ED8 008:930 JLINK_DEVICE_GetInfo(DeviceIndex = 143)  returns 0 (0000ms, 0156ms total)
T3ED8 008:930 JLINK_DEVICE_GetInfo(DeviceIndex = 144)  returns 0 (0000ms, 0156ms total)
